
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=205.031 Mbyte     virtual=289.727 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=205.355 Mbyte     virtual=289.754 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=205.355 Mbyte     virtual=289.754 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=205.367 Mbyte     virtual=289.754 Mbyte     

  1. setup                                          : etime=00:00:00.7    ctime=00:00:00.5    rss= 31.824 Mbyte     virtual= 21.730 Mbyte     
     1. loading mesh                                : etime=00:00:00.3    ctime=00:00:00.3    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
     2. setup of local problems for iwp             : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
     3. loading circuit components                  : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
        1. reading current sources from calcbridge  : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
        2. building current sources for waveguide ports: etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
        3. connectivity check                       : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
           1. legacy FindImpedanceLinePathsForIWG [TO BE OBSOLETED]: etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
              1. find impedance line paths          : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
     4. assigning unknowns                          : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
        1. LFenhance                                : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
     5. setup circuit components                    : etime=00:00:00.2    ctime=00:00:00.2    rss= 31.332 Mbyte     virtual= 21.527 Mbyte     
        1. line paths + line integrals              : etime=00:00:00.2    ctime=00:00:00.2    rss= 31.309 Mbyte     virtual= 21.527 Mbyte     
           1. node2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 30.566 Mbyte     virtual= 21.254 Mbyte     
           2. edge2cell connectivity                : etime=00:00:00.0    ctime=00:00:00.0    rss= 31.188 Mbyte     virtual= 21.527 Mbyte     
        2. FindPortCalibrationInductances           : etime=00:00:00.0    ctime=00:00:00.0    rss= 31.332 Mbyte     virtual= 21.527 Mbyte     
           1. setInductance                         : etime=00:00:00.0    ctime=00:00:00.0    rss= 31.332 Mbyte     virtual= 21.527 Mbyte     
        3. iwp                                      : etime=00:00:00.0    ctime=00:00:00.0    rss= 31.332 Mbyte     virtual= 21.527 Mbyte     

  2. symbolic matrix setup                          : etime=00:00:00.3    ctime=00:00:00.3    rss= 58.027 Mbyte     virtual= 47.906 Mbyte     

  3. iwp                                            : etime=00:00:00.0    ctime=00:00:00.0    rss= 58.027 Mbyte     virtual= 47.906 Mbyte     

  4. Frequency 3.75 GHz                             : etime=00:00:06.1    ctime=00:00:08.0    rss=235.766 Mbyte     virtual=320.246 Mbyte     
     1. Frequency 3.75 GHz                          : etime=00:00:06.0    ctime=00:00:08.0    rss=235.105 Mbyte     virtual=320.246 Mbyte     
        1. constructing matrix                      : etime=00:00:01.7    ctime=00:00:01.4    rss= 59.012 Mbyte     virtual= 50.070 Mbyte     
           1. 1d                                    : etime=00:00:00.0    ctime=00:00:00.0    rss= 59.012 Mbyte     virtual= 50.070 Mbyte     
           2. 3d                                    : etime=00:00:00.4    ctime=00:00:00.9    rss= 59.012 Mbyte     virtual= 50.070 Mbyte     
           3. 2d                                    : etime=00:00:01.3    ctime=00:00:00.5    rss= 59.012 Mbyte     virtual= 50.070 Mbyte     
        2. setup direct solver PARDISO (LU-factorization): etime=00:00:03.6    ctime=00:00:04.7    rss=229.246 Mbyte     virtual=314.598 Mbyte     
        3. constructing excitation                  : etime=00:00:00.0    ctime=00:00:00.0    rss=231.750 Mbyte     virtual=317.102 Mbyte     
        4. direct solve (backsubstitution)          : etime=00:00:00.3    ctime=00:00:00.7    rss=234.457 Mbyte     virtual=319.594 Mbyte     
        5. error estimation                         : etime=00:00:00.3    ctime=00:00:01.0    rss=235.105 Mbyte     virtual=320.246 Mbyte     
     2. writing circuit results                     : etime=00:00:00.1    ctime=00:00:00.0    rss=235.766 Mbyte     virtual=320.246 Mbyte     
        1. simulated cti-file                       : etime=00:00:00.0    ctime=00:00:00.0    rss=235.172 Mbyte     virtual=320.246 Mbyte     
        2. simulated dataset for ADS                : etime=00:00:00.0    ctime=00:00:00.0    rss=235.559 Mbyte     virtual=320.246 Mbyte     
        3. simulated cti-file for ADS               : etime=00:00:00.0    ctime=00:00:00.0    rss=235.563 Mbyte     virtual=320.246 Mbyte     
        4. RLCK dataset                             : etime=00:00:00.0    ctime=00:00:00.0    rss=235.574 Mbyte     virtual=320.246 Mbyte     

  1. AFS                                            : etime=00:00:23.5    ctime=00:00:00.4    rss= 24.398 Mbyte     virtual= 17.828 Mbyte     

